name,url_slug,url,pdf_url,website,tags,meal_type,address,latitude,longitude
Marta,marta,https://www.nyctourism.com/restaurant-week/marta,,https://www.martamanhattan.com,Restaurants; Nomad; Manhattan; New York City; Mastercard Offer; Large Print; Wheelchair Accessible; Italian; Pizza; $$$$; Member Organization; Outdoor Dining,Lunch_Price_30; Sunday_LunchBrunch_Price_30; Dinner_Price_45; Sunday_Dinner_Price_45,"The Redbury New York, 29 E. 29th St.,Manhattan,10016,NY",40.7444796,-73.9846584
Ci Siamo,ci-siamo,https://www.nyctourism.com/restaurant-week/ci-siamo,,https://www.cisiamonyc.com,Restaurants; Chelsea; Manhattan; New York City; Mastercard Offer; Large Print; Wheelchair Accessible; Italian; $$$$; Member Organization,Lunch_Price_45; Sunday_LunchBrunch_Price_45,"385 Ninth Ave.,Manhattan,10001,NY",40.7522767,-73.9980801
The Bar Room at The Modern,the-bar-room-at-the-modern,https://www.nyctourism.com/restaurant-week/the-bar-room-at-the-modern,,https://www.themodernnyc.com/the-bar-room-at-the-modern,Restaurants; Midtown West; Manhattan; New York City; Free; Mastercard Offer; Large Print; Wheelchair Accessible; American (New); $$$$,Lunch_Price_45; Sunday_LunchBrunch_Price_45; Dinner_Price_60,"The Museum of Modern Art, 9 W. 53rd St.,Manhattan,10019,NY",40.7614327,-73.9776216
Blue Smoke,blue-smoke-battery-park-city,https://www.nyctourism.com/restaurant-week/blue-smoke-battery-park-city,,https://www.bluesmoke.com/location/blue-smoke-battery-park-city,Restaurants; Battery Park City; Manhattan; New York City; Mastercard Offer; Large Print; Wheelchair Accessible; Barbecue; Soul Food / Southern; Internet; $$$; Member Organization; Private Function Room(s); Outdoor Dining,Lunch_Price_30; Dinner_Price_45; Sunday_LunchBrunch_Price_30; Sunday_Dinner_45,"255 Vesey St.,Manhattan,10282,NY",40.715015,-74.0152919
B. Cafe East,b-cafe-east,https://www.nyctourism.com/restaurant-week/b-cafe-east,,http://www.bcafe.com,Restaurants; Upper East Side; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; Belgian; Vegetarian Options; $$$; Bar; Member Organization; Beer; Outdoor Dining,Lunch_Price_30; Dinner_Price_45; Sunday_Dinner_Price_45,"240 E. 75th St.,Manhattan,10021,NY",40.7709347,-73.9575923
Petite Boucherie,petite-boucherie,https://www.nyctourism.com/restaurant-week/petite-boucherie,https://assets.ctfassets.net/1aemqu6a6t65/5x8CygeiER05kqWaal8jNP/230fdd697bcc5e78cdaa321404ac200a/PDFsam_merge.pdf,https://boucherie.nyc,Restaurants; West Village; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; French; $$$$; Member Organization; Gift Cards Available; Outdoor Dining,Lunch_Price_45; Dinner_Price_60,"14 Christopher St.,Manhattan,10014,NY",40.7338319,-74.0004287
La Grande Boucherie,la-grande-boucherie,https://www.nyctourism.com/restaurant-week/la-grande-boucherie,https://assets.ctfassets.net/1aemqu6a6t65/58lSCgOg95V7qA1x4fRX6e/9bb5ac2994a1445bb51df502e259bf46/PDFsam_merge.pdf,https://boucherie.nyc/la-grande-boucherie-midtown-manhattan-nyc,Restaurants; Midtown West; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; French; $$$$$; Member Organization; Outdoor Dining,Lunch_Price_45; Dinner_Price_60,"145 W. 53rd St.,Manhattan,10019,NY",40.7626345,-73.9808359
Boucherie West Village,boucherie-west-village,https://www.nyctourism.com/restaurant-week/boucherie-west-village,https://assets.ctfassets.net/1aemqu6a6t65/10DMukc2EZX8ufCxznhEW8/d6c3a233d4105520293fef9f73aa6540/PDFsam_merge.pdf,https://boucherie.nyc,Restaurants; West Village; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; French; $$$$; Member Organization; Outdoor Dining,Lunch_Price_45; Dinner_Price_60,"99 Seventh Ave. South,Manhattan,10014,NY",40.7330828,-74.0028776
Boucherie Union Square,boucherie-union-square,https://www.nyctourism.com/restaurant-week/boucherie-union-square,https://assets.ctfassets.net/1aemqu6a6t65/4EXDUs62f6oBvDKvCb5JA8/ce62bcd2b381f10626e5b75f603a3256/PDFsam_merge.pdf,https://boucherie.nyc,Restaurants; Gramercy; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; French; $$$$; Member Organization; Gift Cards Available; Outdoor Dining,Lunch_Price_45; Dinner_Price_60,"225 Park Ave. South,Manhattan,10003,NY",40.7371329,-73.9879502
Mr. Capri,mr.-capri,https://www.nyctourism.com/restaurant-week/mr.-capri,,https://mrcapri.com,Restaurants; Greenwich Village; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; LGBTQ+ Owned; Italian; $$$$,Sunday_LunchBrunch_Price_30; Dinner_Price_60; Sunday_Dinner_Price_45,"33 W. 8th St.,Manhattan,10011,NY",40.7330857,-73.9980001
Añejo Tribeca,anejo-tribeca,https://www.nyctourism.com/restaurant-week/anejo-tribeca,,http://anejotribeca.com,Restaurants; Tribeca; Manhattan; New York City; Mastercard Offer; Latino Owned; Mexican; Vegetarian Options; Vegan Options; Gluten-Free; $$$; Member Organization; Cocktails; Outdoor Dining,Lunch_Price_30; Dinner_Price_45; Sunday_Dinner_Price_45,"301 Church St.,Manhattan,10013,NY",40.7192552,-74.0042428
Stone Park Cafe,stone-park-cafe,https://www.nyctourism.com/restaurant-week/stone-park-cafe,,https://www.stoneparkcafe.com,Restaurants; Park Slope; Brooklyn; New York City; Mastercard Offer; Wheelchair Accessible; American (New); $$$; Member Organization,Dinner_Price_45,"324 Fifth Ave.,Brooklyn,11215,NY",40.6729864,-73.9833557
Barano,barano,https://www.nyctourism.com/restaurant-week/barano,,http://www.baranobk.com,Restaurants; Williamsburg; Brooklyn; New York City; Wheelchair Accessible; Italian; Gluten-Free; $$$; Member Organization; Outdoor Dining,Lunch_Price_30; Sunday_LunchBrunch_Price_30; Dinner_Price_45; Sunday_Dinner_Price_45,"26 Broadway,Brooklyn,11249,NY",40.7103553,-73.9678051
Maizal,maizal,https://www.nyctourism.com/restaurant-week/maizal,,https://www.maizalrestaurant.com,Restaurants; Rosebank; Staten Island; New York City; Mastercard Offer; Large Print; Braille; Wheelchair Accessible; LGBTQ+ Owned; Woman Owned; Latino Owned; Mexican; Vegetarian Options; Vegan Options; Gluten-Free; $$$; Outdoor Dining,Dinner_Price_30; Sunday_Dinner_30,"990 Bay St.,Staten Island,10305,NY",40.6183412,-74.0695411
