name,url_slug,url,img_url,pdf_url,website,tags,meal_type,address,latitude,longitude
Wagamama - Midtown,wagamama-midtown,https://www.nyctourism.com/restaurant-week/wagamama-midtown,http://images.ctfassets.net/1aemqu6a6t65/4i8tYWqR4g3BFLEqEYeoC1/8ee04c7e50d988db1f67e599c1160803/rw-to-go_wagamama_-_midtown,,https://www.wagamama.us/restaurants/midtown,Restaurants; Midtown West; Manhattan; New York City; Wheelchair Accessible; Asian Fusion; Japanese / Sushi; $$$; Member Organization; Outdoor Dining,Lunch_Price_30; Dinner_Price_45; Sunday_LunchBrunch_Price_30; Sunday_Dinner_45,"100 W. 55th St.,Manhattan,10019,NY",40.7629293,-73.9783987
Bixi,bixi,https://www.nyctourism.com/restaurant-week/bixi,http://images.ctfassets.net/1aemqu6a6t65/xybAJZu0ydz8xlUl9y0uG/e306c94006b4e79d0ff855884b09beac/bixi-harlem-courtesy-bixi,https://assets.ctfassets.net/1aemqu6a6t65/1CqtohReRWlU128Kg8g7cG/1691ba4aa3cb0b14133984e3b2185877/Bixi_RW_Summer.pdf,https://www.bixiharlem.com,Restaurants; Harlem; Manhattan; New York City; Mastercard Offer; Organic; Large Print; Wheelchair Accessible; Gluten-Free; Asian Fusion; $$$; Bar; Member Organization; Pan-Asian; Cocktails; Black Owned; Woman Owned,Dinner_Price_45; Sunday_Dinner_45,"2164 Frederick Douglass Blvd.,Manhattan,10026,NY",40.8048198,-73.9547643
Rossini's,rossinis-restaurant,https://www.nyctourism.com/restaurant-week/rossinis-restaurant,http://images.ctfassets.net/1aemqu6a6t65/4Fv5A6UzlSulKue0KWy3Z6/a9ca9ff6a7f254622c6c4ff2df03a80c/rossinis_restaurant,,http://rossinisrestaurant.com,Restaurants; Murray Hill; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; Italian; Free WiFi; Internet; $$$; Live Music; Member Organization; Private Function Room(s),Lunch_Price_30; Dinner_Price_60; Sunday_Dinner_Price_60,"108 E. 38th St.,Manhattan,10016,NY",40.7492727581,-73.9789092288
Bar Milano by Eataly,bar-milano,https://www.nyctourism.com/restaurant-week/bar-milano,http://images.ctfassets.net/1aemqu6a6t65/676PX3aoPTHBYkyDQMFRSJ/28195ce06e067e866af227d2deadabb8/bar-milano-eataly-manhattan-nyc-courtesy-036,https://assets.ctfassets.net/1aemqu6a6t65/4gx7He0ja9bsgiXlLkKEND/8e356c9dd559f841060dbffeda102292/PDFsam_merge.pdf,https://www.eataly.com/us_en/stores/nyc-flatiron/bar-milano-by-eataly,Restaurants; Flatiron District; Manhattan; New York City; Wheelchair Accessible; Italian; Free WiFi; Internet; $$$$; Member Organization,Lunch_Price_30; Dinner_Price_45; Sunday_Dinner_Price_45; Sunday_LunchBrunch_Price_30,"Eataly NYC Flatiron, 200 Fifth Ave.,Manhattan,10010,NY",40.7420328,-73.989975
Addictive Wine & Tapas Bar,addictive-wine-tapas-bar,https://www.nyctourism.com/restaurant-week/addictive-wine-tapas-bar,http://images.ctfassets.net/1aemqu6a6t65/5mbiMfvdGxqy15Te8w8trH/61ba16f7871d6862cc87a0314c6d99b3/addictive-wine-and-tapas-jackson-heights-queens-courtesy026,https://assets.ctfassets.net/1aemqu6a6t65/2wFSDtEx8rzi4d4Su3lXad/4daa32318a15d491491a596f006f042e/Addictive_Queens_Restaurant_Week_2023.pdf,https://addictivewinebar.com,Restaurants; Jackson Heights; Queens; New York City; Mastercard Offer; Wheelchair Accessible; LGBTQ+ Owned; Latino Owned; Asian American Owned; Mediterranean; Spanish; American (New); Vegetarian Options; Vegan Options; Gluten-Free; $$$; Wine,Dinner_Price_45; Sunday_Dinner_45,"87-01 Northern Blvd.,Queens,11372,NY",40.7562612,-73.8806173
Alice,alice,https://www.nyctourism.com/restaurant-week/alice,http://images.ctfassets.net/1aemqu6a6t65/1HJo6fWxYkF8WpaH3PVhu4/7f983745bc903cdd4056d072d9919d74/2-alice-rw-west-village-manhattan-nyc-courtesy-alice,https://assets.ctfassets.net/1aemqu6a6t65/4xmFSxeg2lMR1wC5N0mhq2/26188e257b126556148d1888a9e22b17/RW-SUMMER-2023_ALICE_DINNER-submit.pdf,https://alicenyc.com,Restaurants; West Village; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; Latino Owned; Italian; Seafood; Vegetarian Options; Vegan Options; Gluten-Free; $$$$; Member Organization; Outdoor Dining,Dinner_Price_45; Sunday_Dinner_45,"126 W. 13th St.,Manhattan,10011,NY",40.7370456,-73.9986702
TsuruTonTan Udon Noodle Brasserie - Union Square,tsurutontan-udon-noodle-brasserie-union-square,https://www.nyctourism.com/restaurant-week/tsurutontan-udon-noodle-brasserie-union-square,http://images.ctfassets.net/1aemqu6a6t65/79uask1KSjRI9hiYvbIWrL/9cf6a41731cb8919d2e1b11e4ee79908/tsurutontan-udon-noodle-brasserie-union-square-manhattan-nyc-courtesy,https://assets.ctfassets.net/1aemqu6a6t65/7Ewq0kimMO9qUpMPAJWdyQ/93ece25cc6bf00b7138fb54af2fdeb80/26522_Tsurutontan_NY-RW_2nd_version_02.pdf,https://www.tsurutontan.com/union-square,Restaurants; Union Square; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; Asian American Owned; Japanese / Sushi; $$$; Member Organization; Outdoor Dining,Lunch_Price_45; Dinner_Price_60; Sunday_LunchBrunch_Price_45; Sunday_Dinner_45,"21 E. 16th St.,Manhattan,10003,NY",40.7368725,-73.9912689
The Dutch,the-dutch,https://www.nyctourism.com/restaurant-week/the-dutch,http://images.ctfassets.net/1aemqu6a6t65/2P7Zvarul0oiF5lqPTzvWb/63f5967f39658ccb45236dd459b0601a/rw-to-go_the-dutch_e73d9df6-5056-a36f-23fdebcb7b20965f-e73d9cd95056a36_e73d9e4e-5056-a36f-237680ea17c23d91,https://assets.ctfassets.net/1aemqu6a6t65/6QpcDVVvpQOf0ti6BGDCZU/941fda8ff639aa5356813927aa0a0cb0/PDFsam_merge.pdf,https://www.thedutchnyc.com,Restaurants; Soho; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; American (New); Vegetarian Options; Gluten-Free; Free WiFi; Internet; $$$; Member Organization; Outdoor Dining,Lunch_Price_45; Dinner_Price_60; Sunday_Dinner_Price_60,"131 Sullivan St.,Manhattan,10012,NY",40.7265479,-74.0021666
Limani,limani,https://www.nyctourism.com/restaurant-week/limani,http://images.ctfassets.net/1aemqu6a6t65/6sBEHQhHZjGjSqC4GospUi/0967d2d84568826684b05e141e7ae48d/_limani-photo-nyc-dsgn-04,https://assets.ctfassets.net/1aemqu6a6t65/Sb4y9E2Yu74O50pzktDev/7bce772fb00e3799870348351417088a/PDFsam_merge.pdf,https://limani.com/new-york,Restaurants; Midtown West; Manhattan; New York City; Mastercard Offer; Organic; Large Print; Wheelchair Accessible; Mediterranean; Greek; Vegetarian Options; Vegan Options; Free WiFi; Internet; $$$$; Member Organization; Private Function Room(s); Outdoor Dining,Lunch_Price_30; Dinner_Price_60; Sunday_LunchBrunch_Price_30; Sunday_Dinner_Price_60,"45 Rockefeller Plaza,Manhattan,10111,NY",40.7583395,-73.9792303
Victor,victor,https://www.nyctourism.com/restaurant-week/victor,http://images.ctfassets.net/1aemqu6a6t65/513xNg3PBjGFaUp1AxNMCW/e412b81fea043da555f77740bc265776/victor-gowanus-brooklyn-nyc-courtesy-2,,https://www.victorbrooklyn.com,Restaurants; Gowanus; Brooklyn; New York City; Mastercard Offer; Mediterranean; Vegetarian Options; Vegan Options; Gluten-Free; $$$$,Dinner_Price_45; Sunday_LunchBrunch_Price_30; Sunday_Dinner_45,"285 Nevins St.,Brooklyn,11217,NY",40.6795158,-73.9868131
